wave,Fobar,oza,ag,aw
320.0,0.771813249281839,0.0094,0.0,0.0
321.0,0.7716106790616011,0.0094,0.0,0.0
322.0,0.71410510932014,0.0094,0.0,0.0
323.0,0.686473360995852,0.0094,0.0,0.0
324.0,0.7234540360676669,0.0094,0.0,0.0
325.0,0.817606605489954,0.0094,0.0,0.0
326.0,0.9727885397382701,0.0094,0.0,0.0
327.0,0.9938928654644099,0.0094,0.0,0.0
328.0,0.953928897223109,0.0094,0.0,0.0
329.0,1.02466186323013,0.0094,0.0,0.0
330.0,1.06803258059368,0.0094,0.0,0.0
331.0,1.0253935541015,0.0094,0.0,0.0
332.0,0.9852463208852,0.0094,0.0,0.0
333.0,0.9639426250133,0.0094,0.0,0.0
334.0,0.9666131000638369,0.0094,0.0,0.0
335.0,0.9783842259814859,0.0094,0.0,0.0
336.0,0.906547037982764,0.0094,0.0,0.0
337.0,0.836053599585065,0.0094,0.0,0.0
338.0,0.907438206990105,0.0094,0.0,0.0
339.0,0.97281008458347,0.0094,0.0,0.0
340.0,1.04549983881264,0.0094,0.0,0.0
341.0,0.97661882381104,0.0094,0.0,0.0
342.0,1.00186959782956,0.0094,0.0,0.0
343.0,1.01216840967124,0.0094,0.0,0.0
344.0,0.897803192626876,0.0094,0.0,0.0
345.0,0.895503423236514,0.0094,0.0,0.0
346.0,0.952666765081392,0.0094,0.0,0.0
347.0,0.9486275789977661,0.0094,0.0,0.0
348.0,0.925227115384615,0.0094,0.0,0.0
349.0,0.9309697302904569,0.0094,0.0,0.0
350.0,0.9916757400961369,0.0094,0.0,0.0
351.0,1.0845035185185201,0.0115,0.0,0.0
352.0,1.03855925233645,0.0092,0.0,0.0
353.0,1.05271462962963,0.0059,0.0,0.0
354.0,1.1674461111111099,0.0037,0.0,0.0
355.0,1.17850289719626,0.0024,0.0,0.0
356.0,1.08458336448598,0.0016,0.0,0.0
357.0,0.958030370370367,0.001,0.0,0.0
358.0,0.86384093457944,0.0007,0.0,0.0
359.0,0.958618504672894,0.0005,0.0,0.0
360.0,1.05695700934579,0.0003,0.0,0.0
361.0,1.03770361111111,0.0002,0.0,0.0
362.0,1.03507747663551,0.0002,0.0,0.0
363.0,1.09736196261682,0.0002,0.0,0.0
364.0,1.11851719626168,0.0001,0.0,0.0
365.0,1.16580411214953,0.0001,0.0,0.0
366.0,1.2853896261682198,0.0001,0.0,0.0
367.0,1.30965953271028,0.0001,0.0,0.0
368.0,1.24438420560748,0.0001,0.0,0.0
369.0,1.26380476635514,0.0001,0.0,0.0
370.0,1.29454925233645,0.0001,0.0,0.0
371.0,1.25643679245283,0.0001,0.0,0.0
372.0,1.19373728971963,0.0001,0.0,0.0
373.0,1.08476158878505,0.0001,0.0,0.0
374.0,1.00382663551402,0.0001,0.0,0.0
375.0,1.04093130841121,0.0001,0.0,0.0
376.0,1.126855,0.0001,0.0,0.0
377.0,1.2420285046729,0.0001,0.0,0.0
378.0,1.33998364485981,0.0001,0.0,0.0
379.0,1.28578858490566,0.0001,0.0,0.0
380.0,1.1877825233644799,0.0,0.0,0.0
381.0,1.20786358490566,0.0,0.0,0.0
382.0,1.0002285981308399,0.0,0.0,0.0
383.0,0.78839396226415,0.0,0.0,0.0
384.0,0.8488839252336431,0.0,0.0,0.0
385.0,1.05127644859813,0.0,0.0,0.0
386.0,1.05240603773585,0.0,0.0,0.0
387.0,1.0761796226415101,0.0,0.0,0.0
388.0,1.05327373831776,0.0,0.0,0.0
389.0,1.1358520754716999,0.0,0.0,0.0
390.0,1.24789028301887,0.0,0.0,0.0
391.0,1.3240187735849098,0.0,0.0,0.0
392.0,1.1839554205607499,0.0,0.0,0.0
393.0,0.879121132075472,0.0,0.0,0.0
394.0,0.8678037735849051,0.0,0.0,0.0
395.0,1.16265037735849,0.0,0.0,0.0
396.0,1.13959981132076,0.0,0.0,0.0
397.0,0.93671943396226,0.0,0.0,0.0
398.0,1.2957854716981099,0.0,0.0,0.0
399.0,1.6650977358490602,0.0,0.0,0.0
400.0,1.7635226415094298,0.0,0.0,0.0
401.0,1.8246979245283,0.0,0.0,0.0
402.0,1.9050941509433899,0.0,0.0,0.0
403.0,1.86676735849057,0.0,0.0,0.0
404.0,1.82064571428571,0.0,0.0,0.0
405.0,1.77197386792453,0.0,0.0,0.0
406.0,1.7057812264150902,0.0,0.0,0.0
407.0,1.7003128075709801,0.0,0.0,0.0
408.0,1.71898788643533,0.0,0.0,0.0
409.0,1.73766296529969,0.0,0.0,0.0
410.0,1.67162716981132,0.0,0.0,0.0
411.0,1.63562588607595,0.0,0.0,0.0
412.0,1.6962176582278499,0.0,0.0,0.0
413.0,1.75680943037975,0.0,0.0,0.0
414.0,1.79359245283019,0.0,0.0,0.0
415.0,1.78727733333333,0.0,0.0,0.0
416.0,1.79406443396226,0.0,0.0,0.0
417.0,1.80141647619048,0.0,0.0,0.0
418.0,1.741434,0.0,0.0,0.0
419.0,1.77189235849057,0.0,0.0,0.0
420.0,1.7407401904761899,0.0,0.0,0.0
421.0,1.84675923809524,0.0,0.0,0.0
422.0,1.7932811428571398,0.0,0.0,0.0
423.0,1.71753133333333,0.0,0.0,0.0
424.0,1.7628557142857098,0.0001,0.0,0.0
425.0,1.7552316037735798,0.0002,0.0,0.0
426.0,1.7534857142857099,0.0003,0.0,0.0
427.0,1.6971666666666698,0.0004,0.0,0.0
428.0,1.67523285714286,0.0006,0.0,0.0
429.0,1.58755857142857,0.0008,0.0,0.0
430.0,1.37960047619047,0.001,0.0,0.0
431.0,1.40106714285714,0.0011,0.0,0.0
432.0,1.63202571428571,0.0013,0.0,0.0
433.0,1.70494380952381,0.0015,0.0,0.0
434.0,1.6619675,0.0017,0.0,0.0
435.0,1.68405561904762,0.0019,0.0,0.0
436.0,1.81838323809524,0.002,0.0,0.0
437.0,1.852808,0.0022,0.0,0.0
438.0,1.7463092307692298,0.0024,0.0,0.0
439.0,1.7184162857142902,0.0026,0.0,0.0
440.0,1.8504046666666698,0.0027,0.0,0.0
441.0,1.8747117307692298,0.0028,0.0,0.0
442.0,1.98079826923077,0.0029,0.0,0.0
443.0,1.98142666666667,0.003,0.0,0.0
444.0,1.98557653846154,0.003,0.0,0.0
445.0,1.9730690476190498,0.0029,0.0,0.0
446.0,1.90164,0.0029,0.0,0.0
447.0,1.99393666666667,0.0028,0.0,0.0
448.0,2.04734788461538,0.0028,0.0,0.0
449.0,2.0553400952381002,0.0028,0.0,0.0
450.0,2.12056730769231,0.003,0.0,0.0
451.0,2.16742115384615,0.0033,0.0,0.0
452.0,2.11108076923077,0.0038,0.0,0.0
453.0,2.03064771428571,0.0043,0.0,0.0
454.0,2.04529884615385,0.0049,0.0,0.0
455.0,2.09684884615385,0.0054,0.0,0.0
456.0,2.12383653846154,0.006,0.0,0.0
457.0,2.1554458653846202,0.0066,0.0,0.0
458.0,2.12512480769231,0.0072,0.0,0.0
459.0,2.07688605769231,0.0077,0.0,0.0
460.0,2.08363365384615,0.0082,0.0,0.0
461.0,2.11977576923077,0.0086,0.0,0.0
462.0,2.14246509615385,0.0087,0.0,0.0
463.0,2.14616375,0.0087,0.0,0.0
464.0,2.09461711538462,0.0085,0.0,0.0
465.0,2.04849259615385,0.0082,0.0,0.0
466.0,2.08187451923077,0.0078,0.0,0.0
467.0,2.00932644230769,0.0075,0.0,0.0
468.0,2.0561491262135903,0.0073,0.0,0.0
469.0,2.0679834615384602,0.0072,0.0,0.0
470.0,2.0135094230769197,0.0074,0.0,0.0
471.0,2.0193115384615403,0.0079,0.0,0.0
472.0,2.11098553398058,0.0087,0.0,0.0
473.0,2.08707240384615,0.0097,0.0,0.0
474.0,2.11166223300971,0.0108,0.0,0.0
475.0,2.12964538461539,0.0119,0.0,0.0
476.0,2.0981068932038798,0.0131,0.0,0.0
477.0,2.11871375,0.0143,0.0,0.0
478.0,2.13856349514563,0.0154,0.0,0.0
479.0,2.13389480769231,0.0166,0.0,0.0
480.0,2.1239422330097097,0.0177,0.0,0.0
481.0,2.12320844660194,0.0187,0.0,0.0
482.0,2.11822846153846,0.0196,0.0,0.0
483.0,2.09125019417476,0.0202,0.0,0.0
484.0,2.06142388349515,0.0205,0.0,0.0
485.0,1.9644733980582498,0.0203,0.0,0.0
486.0,1.79759115384615,0.0197,0.0,0.0
487.0,1.7976322330097099,0.0191,0.0,0.0
488.0,1.94288116504854,0.0185,0.0,0.0
489.0,1.97952922330097,0.0182,0.0,0.0
490.0,2.05440611650485,0.0183,0.0,0.0
491.0,2.03260339805825,0.0187,0.0,0.0
492.0,1.9488484466019402,0.0193,0.0,0.0
493.0,1.98801990291262,0.0201,0.0,0.0
494.0,2.00124902912621,0.0209,0.0,0.0
495.0,2.06236029411765,0.0218,0.0,0.0
496.0,2.00972233009709,0.0228,0.0,0.0
497.0,2.03538213592233,0.0239,0.0,0.0
498.0,1.9734889320388298,0.025,0.0,0.0
499.0,1.96370048543689,0.0263,0.0,0.0
500.0,1.96099990291262,0.0279,0.0,0.0
501.0,1.88976705882353,0.0297,0.0,0.0
502.0,1.8916984466019398,0.0317,0.0,0.0
503.0,1.96555490196079,0.0337,0.0,0.0
504.0,1.93116427184466,0.0358,0.0,0.0
505.0,1.98520029126214,0.0377,0.0,0.0
506.0,2.04217470588235,0.0394,0.0,0.0
507.0,2.028115,0.0406,0.0,0.0
508.0,1.995365,0.0412,0.0,0.0
509.0,1.962615,0.0409,0.0,0.0
510.0,1.9252498039215702,0.0399,0.0,0.0
511.0,1.94374666666667,0.0387,0.0,0.0
512.0,1.9463655339805799,0.0377,0.0,0.0
513.0,1.9068355882352899,0.0371,0.0,0.0
514.0,1.86688745098039,0.0373,0.0,0.0
515.0,1.8757338235294099,0.038,0.0,0.0
516.0,1.8163492233009702,0.0392,0.0,0.0
517.0,1.6960252941176501,0.0405,0.0,0.0
518.0,1.67450490196078,0.0421,0.0,0.0
519.0,1.7632303921568602,0.0437,0.0,0.0
520.0,1.83836176470588,0.0454,0.0,0.0
521.0,1.86874568627451,0.0471,0.0,0.0
522.0,1.8667762745098,0.0488,0.0,0.0
523.0,1.85622294117647,0.0506,0.0,0.0
524.0,1.90086607843137,0.0523,0.0,0.0
525.0,1.9228135294117599,0.0541,0.0,0.0
526.0,1.83456411764706,0.0559,0.0,0.0
527.0,1.7410064356435702,0.0576,0.0,0.0
528.0,1.83489823529412,0.0594,0.0,0.0
529.0,1.91411803921569,0.0611,0.0,0.0
530.0,1.91857470588235,0.0628,0.0,0.0
531.0,1.94097722772277,0.0645,0.0,0.0
532.0,1.9274,0.0662,0.0,0.0
533.0,1.8984,0.0677,0.0,0.0
534.0,1.87939801980198,0.0691,0.0,0.0
535.0,1.90685735294118,0.0703,0.0,0.0
536.0,1.94405504950495,0.0711,0.0,0.0
537.0,1.8714629411764698,0.0715,0.0,0.0
538.0,1.90638346534654,0.0717,0.0,0.0
539.0,1.8910550000000002,0.0718,0.0,0.0
540.0,1.8307346534653501,0.0721,0.0,0.0
541.0,1.8191188118811898,0.0727,0.0,0.0
542.0,1.8841107843137301,0.0737,0.0,0.0
543.0,1.87273831683168,0.0748,0.0,0.0
544.0,1.90441475247525,0.0761,0.0,0.0
545.0,1.90477079207921,0.0774,0.0,0.0
546.0,1.90842089108911,0.0787,0.0,0.0
547.0,1.90031196078432,0.0801,0.0,0.0
548.0,1.86395702970297,0.0814,0.0,0.0
549.0,1.9108003960396,0.0826,0.0,0.0
550.0,1.9056875247524798,0.0838,0.0,0.0
551.0,1.88744,0.0848,0.0,0.0
552.0,1.91512316831683,0.0858,0.0,0.0
553.0,1.87660376237624,0.0867,0.0,0.0
554.0,1.9020471287128702,0.0876,0.0,0.0
555.0,1.90899653465347,0.0885,0.0,0.0
556.0,1.8781498019802,0.0895,0.0,0.0
557.0,1.827852,0.0907,0.0,0.0
558.0,1.83298405940594,0.0921,0.0,0.0
559.0,1.76903811881188,0.0939,0.0,0.0
560.0,1.7923057425742601,0.0959,0.0,0.0
561.0,1.8472336,0.098,0.0,0.0
562.0,1.8116023762376299,0.1003,0.0,0.0
563.0,1.81410791044776,0.1026,0.0,0.0
564.0,1.82118253731343,0.1049,0.0,0.0
565.0,1.81874445544554,0.1072,0.0,0.0
566.0,1.7826265,0.1094,0.0,0.006
567.0,1.83218277227723,0.1115,0.0,0.0141
568.0,1.8218864000000001,0.1135,0.0,0.0224
569.0,1.81040247524752,0.1151,0.0,0.0297
570.0,1.8088077,0.1164,0.0,0.0337
571.0,1.76248772277228,0.1173,0.0,0.0322
572.0,1.8393544,0.1181,0.0,0.0274
573.0,1.8651114,0.1186,0.0,0.0215
574.0,1.86281257425743,0.1191,0.0,0.0158
575.0,1.826642,0.1194,0.0,0.0116
