wave,F0
319.540172413793,754.09
320.620517241379,795.73
321.700862068966,727.065
322.781206896552,680.26
323.861551724138,710.94
324.941896551724,808.59
326.02224137931,976.24
327.102586206897,995.745
328.182931034483,945.405
329.263275862069,1050.2
330.343620689655,1076.35
331.423965517241,992.48
332.504310344828,978.913333333333
333.584655172414,946.285
334.665,999.16
335.745344827586,932.16
336.825689655172,823.5
337.906034482759,901.305
338.986379310345,971.82
340.066724137931,1050.35
341.147068965517,965
342.227413793103,1011.7
343.30775862069,1012.355
344.388103448276,833.58
345.468448275862,942.91
346.548793103448,962.74
347.629137931035,928.95
348.709482758621,918.105
349.789827586207,965.945
350.83,1093.29
351.91,1037.47
352.98,1050.42
354.06,1174.33
355.13,1179.08
356.2,1062.86
357.28,921.34
358.35,835.89
359.42,1037.92
360.49,1073.04
361.57,998.21
362.64,1089.95
363.71,1111.98
364.78,1136.1
365.85,1280.57
366.92,1314.95
367.99,1244.19
369.06,1264.97
370.13,1298.64
371.19,1247.22
372.26,1176.57
373.33,1043.82
374.4,979.95
375.47,1088.7
376.53,1165.01
377.6,1340.35
378.67,1339.37
379.73,1167.26
380.8,1248.59
381.86,1032.74
382.93,784.26
383.99,846.86
385.06,1063.42
386.12,1051
387.18,1081.33
388.25,1044.72
389.31,1173.52
390.37,1287.77
391.43,1348.76
392.5,1039.39
393.56,699.62
394.62,1104.79
395.68,1266.19
396.74,846.86
397.8,1213.21
398.86,1650.86
399.92,1758.66
400.98,1823.09
402.04,1908.31
403.1,1862.44
404.15,1813.68
405.21,1761.67
406.27,1686.68
409.44,1745.88
410.5,1605.33
413.66,1796.8
414.72,1786.8
415.77,1788.59
416.83,1813.82
417.88,1737.21
418.93,1774.17
419.99,1739.68
421.04,1851
422.09,1787.87
423.14,1706.71
424.19,1775.26
425.25,1749.05
426.3,1755.26
427.35,1668.12
428.4,1679.61
429.45,1518.52
430.5,1253.31
431.55,1563.6
432.6,1723.26
433.65,1675.18
434.69,1635.92
435.74,1798.96
436.79,1877.4
437.84,1754.44
438.88,1701.59
439.93,1848.82
440.98,1872.59
442.02,1982.92
443.07,1981.32
444.11,1986.08
445.16,1970.73
446.2,1885.19
447.25,2027.92
448.29,2054.86
449.34,2055.57
450.38,2157.99
451.42,2173.81
452.46,2061.33
453.51,2001.67
454.55,2094.27
455.59,2100.23
456.63,2160.11
457.67,2147
458.71,2078.06
459.75,2073.85
460.79,2114.55
461.83,2140.43
462.87,2152.88
463.91,2099.15
464.95,2046.77
465.99,2082.6
467.03,2007.15
468.06,2059.18
469.1,2068.92
470.14,2004.89
471.18,2022.33
472.21,2133.69
473.25,2072.32
474.28,2126.35
475.32,2131.11
476.35,2081.12
477.39,2141.27
478.42,2136.7
479.46,2131.67
480.49,2116.93
481.52,2129.61
482.56,2104.95
483.59,2072.88
484.62,2044.1
485.65,1828.27
486.69,1737.11
487.72,1938.2
488.75,1955.42
489.78,2054.75
490.81,2053.14
491.84,1941.81
492.87,1987.12
493.9,1994.25
494.93,2066.34
495.95,2008.35
496.98,2036.62
498.01,1972.87
499.04,1963.33
500.07,1960.83
501.09,1882.89
502.12,1892.86
503.14,1977.12
504.17,1922.08
505.2,2000.41
506.22,2053.66
509.3,1952.79
510.32,1912.66
511.34,1959.29
512.37,1939.12
513.39,1886.85
514.41,1853.47
515.43,1891.96
516.46,1755.33
517.48,1643.31
518.5,1704.5
519.52,1824.31
520.54,1854.17
521.56,1886.49
522.58,1840.79
523.6,1878.27
524.62,1935.89
525.64,1900.79
526.66,1713.15
527.67,1795.9
528.69,1916.44
529.71,1908.8
530.73,1943.18
531.74,1934.94
533.78,1875.78
534.79,1892.39
535.81,1962.66
536.82,1863.76
537.84,1907.41
538.85,1900.93
539.87,1833.78
540.88,1810.12
541.89,1885.86
542.91,1869.64
543.92,1904.41
544.93,1904.47
545.94,1908.81
546.95,1902.26
547.97,1862.52
548.98,1910.9
549.99,1905.87
551,1887.44
552.01,1915.4
553.02,1875.82
554.03,1902.85
555.04,1909.25
556.05,1876.53
557.05,1825.29
558.06,1833.47
559.07,1764.24
560.08,1794.72
561.08,1851.8
562.09,1807.67
564.1,1821.89
565.11,1818.36
566.11,1778.21
567.12,1839.46
568.12,1819.49
569.13,1809.06
570.13,1808.77
571.14,1755.04
572.14,1853.08
573.14,1867.07
574.15,1862.07
575.15,1820.39
576.15,1815.11
577.15,1841.43
578.15,1797.49
579.15,1803.2
580.15,1826.98
581.15,1824.59
582.15,1848.98
583.15,1851.32
584.15,1847.03
585.15,1811.46
586.15,1778.65
587.15,1824.81
588.15,1804.73
